#{"t_start": 1767050405.1275222, "env_id": "Reacher-v4"}
r,l,t
-3.013795,50,300.566395
-6.624369,50,301.122404
-2.158319,50,301.69769
-6.468655,50,302.24486
-4.40544,50,302.876438
-5.467361,50,303.466182
-4.39892,50,304.046446
-4.099326,50,304.581402
-2.945765,50,305.154501
-4.302481,50,305.6872
-3.717005,50,306.238879
-5.348921,50,307.033239
-7.187117,50,307.588817
-2.395642,50,308.129219
-5.454799,50,308.689364
-5.976758,50,309.260036
-5.752005,50,309.808581
-8.544716,50,310.383758
-5.664867,50,310.924398
-4.907774,50,311.478155
-5.135122,50,312.080392
-5.368275,50,312.642066
-5.074976,50,313.217818
-2.640556,50,313.75981
-6.386169,50,314.378867
-6.685287,50,314.951905
-5.219133,50,315.508358
-5.565753,50,316.087349
-6.041981,50,316.67345
-5.022964,50,317.217818
-5.983285,50,317.798183
-4.936529,50,318.319477
-4.62236,50,318.843653
-6.406457,50,319.375258
-4.813203,50,319.943255
-6.344691,50,320.43871
-5.461014,50,321.038894
-5.531333,50,321.755625
-4.144564,50,322.327669
-5.230329,50,322.892873
-7.401416,50,323.482456
-8.44448,50,324.078928
-5.388813,50,324.665103
-3.848643,50,325.233359
-4.130426,50,325.831803
-4.160857,50,326.431909
-4.194958,50,327.000444
-5.163035,50,327.596941
-7.040782,50,328.208
-6.20432,50,328.789756
-4.611229,50,329.441816
-6.923317,50,330.076878
-5.516529,50,330.704351
-5.17482,50,331.434481
-3.069413,50,332.225443
-7.104072,50,333.024722
-6.297615,50,333.793727
-5.474383,50,334.5116
-2.582719,50,335.15934
-3.64637,50,335.782961
-5.04701,50,336.549539
-4.57089,50,337.272432
-6.904836,50,337.870465
-4.703663,50,338.484319
-4.911061,50,339.114437
-3.065173,50,339.687291
-3.996653,50,340.338793
-7.022532,50,340.933883
-6.025923,50,341.54478
-6.123773,50,342.222227
-4.418189,50,343.041691
-6.036329,50,343.822286
-4.339795,50,344.640044
-4.81614,50,345.476581
-3.171894,50,346.224561
-5.312351,50,346.891369
-5.507278,50,347.555513
-5.185865,50,348.157014
-2.672347,50,348.746093
