#{"t_start": 1767048764.4368377, "env_id": "Reacher-v4"}
r,l,t
-5.000925,50,182.112595
-5.344863,50,182.645662
-8.01517,50,183.178998
-8.325,50,183.701403
-9.026722,50,184.226417
-8.761836,50,184.741486
-3.545103,50,185.298472
-6.612432,50,185.851602
-4.649234,50,186.359252
-5.147351,50,186.884779
-6.657934,50,187.41652
-5.250498,50,187.948416
-10.150763,50,188.498189
-3.550664,50,189.034341
-5.248617,50,189.62585
-2.924239,50,190.156031
-7.286079,50,190.651347
-8.85079,50,191.190761
-3.066403,50,191.712905
-8.278887,50,192.249905
-5.770699,50,192.75506
-5.203724,50,193.280129
-4.092002,50,193.784449
-7.641149,50,194.319498
-3.200682,50,194.828779
-8.704062,50,195.335848
-5.985673,50,195.871055
-5.535033,50,196.413876
-2.084798,50,196.947247
-8.058374,50,197.503302
-5.03509,50,198.031929
-7.215044,50,198.57351
-7.439039,50,199.12332
-5.749819,50,199.648039
-3.000549,50,200.181891
-5.235415,50,200.727277
-5.574772,50,201.257503
-4.968602,50,201.777236
-4.853457,50,202.304046
-4.698532,50,202.8364
-8.147885,50,203.352388
-6.746874,50,203.873139
-5.708201,50,204.376653
-10.856511,50,204.917981
-6.279272,50,205.448619
-5.266383,50,206.004125
-4.479168,50,206.533801
-8.293199,50,207.061966
-5.360517,50,207.571913
-9.516239,50,208.085015
-5.526357,50,208.610083
-3.841452,50,209.146228
-7.975882,50,209.673212
-3.503325,50,210.18344
-3.656165,50,210.723525
-6.20498,50,211.257744
-3.326424,50,211.765778
-5.089717,50,212.281009
-4.900781,50,212.807051
-4.205171,50,213.353658
-4.268181,50,213.881479
-5.498693,50,214.388424
-4.467462,50,214.895738
-6.091585,50,215.415447
-7.38602,50,215.935537
-3.924972,50,216.456621
-9.212913,50,216.982043
-9.263382,50,217.524183
-9.100233,50,218.036693
-3.718255,50,218.55836
-4.247308,50,219.076008
-5.215476,50,219.622318
-4.284726,50,220.148394
-7.799912,50,220.655514
-10.22142,50,221.173115
-3.88031,50,221.700776
-4.093063,50,222.231468
-5.295166,50,222.760562
-3.592479,50,223.277017
-5.165429,50,223.807325
-4.409917,50,224.33965
-4.078608,50,224.860782
-6.13947,50,225.369601
-4.360223,50,225.890797
-3.621013,50,226.407861
-5.935765,50,226.932882
-4.191319,50,227.441965
-4.589242,50,227.962554
-9.513566,50,228.471064
-6.354298,50,228.961818
-5.019874,50,229.484658
-5.638507,50,230.020001
-3.104165,50,230.502779
-2.589944,50,231.034355
-5.108333,50,231.525285
-4.625398,50,232.041719
-4.982455,50,232.585975
-5.48577,50,233.10197
-5.617104,50,233.630025
-3.763005,50,234.173807
-4.506713,50,234.698039
